*** [38985] [1452966354] Starting up
*** [38985] start a is 606133333333382
*** [38985] end a is 613066666666715
+++ [38985] Checked [606133333333382] to [606187333333374]
*** [38985] [1452967257] working on: 606187333333374 tried: 53999999992 rate: 59800664 / sec
*** [38985] time left: 0 wk 1 d 7 h 57 m 18 s
+++ [38985] Checked [606133333333382] to [606242333333374]
*** [38985] [1452968162] working on: 606242333333374 tried: 55000000000 rate: 60773480 / sec
*** [38985] time left: 0 wk 1 d 7 h 11 m 32 s
+++ [38985] Checked [606133333333382] to [606295333333374]
*** [38985] [1452969054] working on: 606295333333374 tried: 53000000000 rate: 59417040 / sec
*** [38985] time left: 0 wk 1 d 7 h 39 m 23 s
+++ [38985] Checked [606133333333382] to [606350333333374]
*** [38985] [1452969955] working on: 606350333333374 tried: 55000000000 rate: 61043285 / sec
*** [38985] time left: 0 wk 1 d 6 h 33 m 46 s
+++ [38985] Checked [606133333333382] to [606405333333374]
*** [38985] [1452970854] working on: 606405333333374 tried: 55000000000 rate: 61179087 / sec
*** [38985] time left: 0 wk 1 d 6 h 14 m 43 s
+++ [38985] Checked [606133333333382] to [606461333333374]
*** [38985] [1452971764] working on: 606461333333374 tried: 56000000000 rate: 61538461 / sec
*** [38985] time left: 0 wk 1 d 5 h 48 m 57 s
+++ [38985] Checked [606133333333382] to [606514333333374]
*** [38985] [1452972655] working on: 606514333333374 tried: 53000000000 rate: 59483726 / sec
*** [38985] time left: 0 wk 1 d 6 h 35 m 54 s
+++ [38985] Checked [606133333333382] to [606567333333374]
*** [38985] [1452973554] working on: 606567333333374 tried: 53000000000 rate: 58954393 / sec
*** [38985] time left: 0 wk 1 d 6 h 37 m 24 s
+++ [38985] Checked [606133333333382] to [606622333333374]
*** [38985] [1452974465] working on: 606622333333374 tried: 55000000000 rate: 60373216 / sec
*** [38985] time left: 0 wk 1 d 5 h 39 m 2 s
+++ [38985] Checked [606133333333382] to [606676333333374]
*** [38985] [1452975357] working on: 606676333333374 tried: 54000000000 rate: 60538116 / sec
*** [38985] time left: 0 wk 1 d 5 h 19 m 19 s
+++ [38985] Checked [606133333333382] to [606732333333374]
*** [38985] [1452976261] working on: 606732333333374 tried: 56000000000 rate: 61946902 / sec
*** [38985] time left: 0 wk 1 d 4 h 24 m 15 s
+++ [38985] Checked [606133333333382] to [606789333333374]
*** [38985] [1452977166] working on: 606789333333374 tried: 57000000000 rate: 62983425 / sec
*** [38985] time left: 0 wk 1 d 3 h 41 m 7 s
+++ [38985] Checked [606133333333382] to [606844333333374]
*** [38985] [1452978055] working on: 606844333333374 tried: 55000000000 rate: 61867266 / sec
*** [38985] time left: 0 wk 1 d 3 h 56 m 16 s
+++ [38985] Checked [606133333333382] to [606898333333374]
*** [38985] [1452978960] working on: 606898333333374 tried: 54000000000 rate: 59668508 / sec
*** [38985] time left: 0 wk 1 d 4 h 42 m 57 s
+++ [38985] Checked [606133333333382] to [606952333333374]
*** [38985] [1452979854] working on: 606952333333374 tried: 54000000000 rate: 60402684 / sec
*** [38985] time left: 0 wk 1 d 4 h 7 m 7 s
+++ [38985] Checked [606133333333382] to [607008333333374]
*** [38985] [1452980763] working on: 607008333333374 tried: 56000000000 rate: 61606160 / sec
*** [38985] time left: 0 wk 1 d 3 h 19 m 0 s
