*** [75859] [1453083947] Starting up
*** [75859] start a is 2456000000000014
*** [75859] end a is 2525333333333347
+++ [75859] Checked [2456000000000014] to [2456055000000010]
*** [75859] [1453084856] working on: 2456055000000010 tried: 54999999996 rate: 60506050 / sec
*** [75859] time left: 1 wk 6 d 6 h 3 m 2 s
+++ [75859] Checked [2456000000000014] to [2456112000000010]
*** [75859] [1453085763] working on: 2456112000000010 tried: 57000000000 rate: 62844542 / sec
*** [75859] time left: 1 wk 5 d 17 h 57 m 50 s
+++ [75859] Checked [2456000000000014] to [2456166000000010]
*** [75859] [1453086656] working on: 2456166000000010 tried: 54000000000 rate: 60470324 / sec
*** [75859] time left: 1 wk 6 d 5 h 43 m 43 s
+++ [75859] Checked [2456000000000014] to [2456219000000010]
*** [75859] [1453087548] working on: 2456219000000010 tried: 53000000000 rate: 59417040 / sec
*** [75859] time left: 1 wk 6 d 11 h 6 m 48 s
+++ [75859] Checked [2456000000000014] to [2456273000000010]
*** [75859] [1453088451] working on: 2456273000000010 tried: 54000000000 rate: 59800664 / sec
*** [75859] time left: 1 wk 6 d 8 h 47 m 23 s
+++ [75859] Checked [2456000000000014] to [2456327000000010]
*** [75859] [1453089350] working on: 2456327000000010 tried: 54000000000 rate: 60066740 / sec
*** [75859] time left: 1 wk 6 d 7 h 7 m 8 s
+++ [75859] Checked [2456000000000014] to [2456381000000010]
*** [75859] [1453090257] working on: 2456381000000010 tried: 54000000000 rate: 59536934 / sec
*** [75859] time left: 1 wk 6 d 9 h 42 m 24 s
+++ [75859] Checked [2456000000000014] to [2456435000000010]
*** [75859] [1453091156] working on: 2456435000000010 tried: 54000000000 rate: 60066740 / sec
*** [75859] time left: 1 wk 6 d 6 h 37 m 10 s
+++ [75859] Checked [2456000000000014] to [2456489000000010]
*** [75859] [1453092054] working on: 2456489000000010 tried: 54000000000 rate: 60133630 / sec
*** [75859] time left: 1 wk 6 d 6 h 0 m 56 s
+++ [75859] Checked [2456000000000014] to [2456542000000010]
*** [75859] [1453092950] working on: 2456542000000010 tried: 53000000000 rate: 59151785 / sec
*** [75859] time left: 1 wk 6 d 11 h 2 m 43 s
+++ [75859] Checked [2456000000000014] to [2456597000000010]
*** [75859] [1453093855] working on: 2456597000000010 tried: 55000000000 rate: 60773480 / sec
*** [75859] time left: 1 wk 6 d 2 h 10 m 26 s
+++ [75859] Checked [2456000000000014] to [2456652000000010]
*** [75859] [1453094762] working on: 2456652000000010 tried: 55000000000 rate: 60639470 / sec
*** [75859] time left: 1 wk 6 d 2 h 36 m 58 s
+++ [75859] Checked [2456000000000014] to [2456706000000010]
*** [75859] [1453095648] working on: 2456706000000010 tried: 54000000000 rate: 60948081 / sec
*** [75859] time left: 1 wk 6 d 0 h 46 m 37 s
+++ [75859] Checked [2456000000000014] to [2456760000000010]
*** [75859] [1453096551] working on: 2456760000000010 tried: 54000000000 rate: 59800664 / sec
*** [75859] time left: 1 wk 6 d 6 h 31 m 39 s
+++ [75859] Checked [2456000000000014] to [2456813000000010]
*** [75859] [1453097449] working on: 2456813000000010 tried: 53000000000 rate: 59020044 / sec
*** [75859] time left: 1 wk 6 d 10 h 29 m 28 s
+++ [75859] Checked [2456000000000014] to [2456866000000010]
*** [75859] [1453098351] working on: 2456866000000010 tried: 53000000000 rate: 58758314 / sec
*** [75859] time left: 1 wk 6 d 11 h 40 m 37 s
+++ [75859] Checked [2456000000000014] to [2456920000000010]
*** [75859] [1453099261] working on: 2456920000000010 tried: 54000000000 rate: 59340659 / sec
*** [75859] time left: 1 wk 6 d 8 h 14 m 52 s
+++ [75859] Checked [2456000000000014] to [2456974000000010]
*** [75859] [1453100162] working on: 2456974000000010 tried: 54000000000 rate: 59933407 / sec
*** [75859] time left: 1 wk 6 d 4 h 49 m 49 s
+++ [75859] Checked [2456000000000014] to [2457028000000010]
*** [75859] [1453101054] working on: 2457028000000010 tried: 54000000000 rate: 60538116 / sec
*** [75859] time left: 1 wk 6 d 1 h 25 m 3 s
+++ [75859] Checked [2456000000000014] to [2457081000000010]
*** [75859] [1453101948] working on: 2457081000000010 tried: 53000000000 rate: 59284116 / sec
*** [75859] time left: 1 wk 6 d 7 h 47 m 56 s
+++ [75859] Checked [2456000000000014] to [2457136000000010]
*** [75859] [1453102857] working on: 2457136000000010 tried: 55000000000 rate: 60506050 / sec
*** [75859] time left: 1 wk 6 d 1 h 5 m 16 s
+++ [75859] Checked [2456000000000014] to [2457190000000010]
*** [75859] [1453103750] working on: 2457190000000010 tried: 54000000000 rate: 60470324 / sec
*** [75859] time left: 1 wk 6 d 1 h 1 m 29 s
+++ [75859] Checked [2456000000000014] to [2457245000000010]
*** [75859] [1453104648] working on: 2457245000000010 tried: 55000000000 rate: 61247216 / sec
*** [75859] time left: 1 wk 5 d 20 h 48 m 17 s
+++ [75859] Checked [2456000000000014] to [2457299000000010]
*** [75859] [1453105563] working on: 2457299000000010 tried: 54000000000 rate: 59016393 / sec
*** [75859] time left: 1 wk 6 d 8 h 13 m 24 s
+++ [75859] Checked [2456000000000014] to [2457351000000010]
*** [75859] [1453106464] working on: 2457351000000010 tried: 52000000000 rate: 57713651 / sec
*** [75859] time left: 1 wk 6 d 15 h 12 m 5 s
+++ [75859] Checked [2456000000000014] to [2457403000000010]
*** [75859] [1453107350] working on: 2457403000000010 tried: 52000000000 rate: 58690744 / sec
*** [75859] time left: 1 wk 6 d 9 h 30 m 29 s
+++ [75859] Checked [2456000000000014] to [2457459000000010]
