*** [69692] [1455663148] Starting up
*** [69692] start a is 3634666666666692
*** [69692] end a is 3704000000000025
+++ [69692] Checked [3634666666666692] to [3634720666666684]
*** [69692] [1455664065] working on: 3634720666666684 tried: 53999999992 rate: 58887677 / sec
*** [69692] time left: 1 wk 6 d 14 h 47 m 46 s
+++ [69692] Checked [3634666666666692] to [3634772666666684]
*** [69692] [1455664963] working on: 3634772666666684 tried: 52000000000 rate: 57906458 / sec
*** [69692] time left: 1 wk 6 d 20 h 5 m 3 s
+++ [69692] Checked [3634666666666692] to [3634822666666684]
*** [69692] [1455665849] working on: 3634822666666684 tried: 50000000000 rate: 56433408 / sec
*** [69692] time left: 2 wk 0 d 4 h 30 m 23 s
+++ [69692] Checked [3634666666666692] to [3634877666666684]
*** [69692] [1455666754] working on: 3634877666666684 tried: 55000000000 rate: 60773480 / sec
*** [69692] time left: 1 wk 6 d 3 h 56 m 17 s
+++ [69692] Checked [3634666666666692] to [3634930666666684]
*** [69692] [1455667648] working on: 3634930666666684 tried: 53000000000 rate: 59284116 / sec
*** [69692] time left: 1 wk 6 d 11 h 37 m 37 s
+++ [69692] Checked [3634666666666692] to [3634983666666684]
*** [69692] [1455668554] working on: 3634983666666684 tried: 53000000000 rate: 58498896 / sec
*** [69692] time left: 1 wk 6 d 15 h 43 m 9 s
+++ [69692] Checked [3634666666666692] to [3635037666666684]
*** [69692] [1455669460] working on: 3635037666666684 tried: 54000000000 rate: 59602649 / sec
*** [69692] time left: 1 wk 6 d 9 h 23 m 55 s
+++ [69692] Checked [3634666666666692] to [3635090666666684]
*** [69692] [1455670351] working on: 3635090666666684 tried: 53000000000 rate: 59483726 / sec
*** [69692] time left: 1 wk 6 d 9 h 47 m 37 s
+++ [69692] Checked [3634666666666692] to [3635144666666684]
*** [69692] [1455671259] working on: 3635144666666684 tried: 54000000000 rate: 59471365 / sec
*** [69692] time left: 1 wk 6 d 9 h 36 m 30 s
+++ [69692] Checked [3634666666666692] to [3635198666666684]
*** [69692] [1455672155] working on: 3635198666666684 tried: 54000000000 rate: 60267857 / sec
*** [69692] time left: 1 wk 6 d 5 h 6 m 33 s
+++ [69692] Checked [3634666666666692] to [3635250666666684]
*** [69692] [1455673064] working on: 3635250666666684 tried: 52000000000 rate: 57205720 / sec
*** [69692] time left: 1 wk 6 d 21 h 49 m 52 s
+++ [69692] Checked [3634666666666692] to [3635303666666684]
*** [69692] [1455673956] working on: 3635303666666684 tried: 53000000000 rate: 59417040 / sec
*** [69692] time left: 1 wk 6 d 9 h 9 m 33 s
+++ [69692] Checked [3634666666666692] to [3635356666666684]
*** [69692] [1455674859] working on: 3635356666666684 tried: 53000000000 rate: 58693244 / sec
*** [69692] time left: 1 wk 6 d 12 h 52 m 7 s
+++ [69692] Checked [3634666666666692] to [3635408666666684]
*** [69692] [1455675757] working on: 3635408666666684 tried: 52000000000 rate: 57906458 / sec
*** [69692] time left: 1 wk 6 d 17 h 2 m 0 s
+++ [69692] Checked [3634666666666692] to [3635461666666684]
*** [69692] [1455676654] working on: 3635461666666684 tried: 53000000000 rate: 59085841 / sec
*** [69692] time left: 1 wk 6 d 10 h 12 m 59 s
+++ [69692] Checked [3634666666666692] to [3635513666666684]
*** [69692] [1455677565] working on: 3635513666666684 tried: 52000000000 rate: 57080131 / sec
*** [69692] time left: 1 wk 6 d 21 h 17 m 8 s
+++ [69692] Checked [3634666666666692] to [3635566666666684]
*** [69692] [1455678453] working on: 3635566666666684 tried: 53000000000 rate: 59684684 / sec
*** [69692] time left: 1 wk 6 d 6 h 29 m 42 s
+++ [69692] Checked [3634666666666692] to [3635619666666684]
*** [69692] [1455679357] working on: 3635619666666684 tried: 53000000000 rate: 58628318 / sec
*** [69692] time left: 1 wk 6 d 11 h 58 m 57 s
+++ [69692] Checked [3634666666666692] to [3635675666666684]
*** [69692] [1455680251] working on: 3635675666666684 tried: 56000000000 rate: 62639821 / sec
*** [69692] time left: 1 wk 5 d 14 h 59 m 10 s
+++ [69692] Checked [3634666666666692] to [3635731666666684]
*** [69692] [1455681162] working on: 3635731666666684 tried: 56000000000 rate: 61470911 / sec
*** [69692] time left: 1 wk 5 d 20 h 29 m 40 s
